date,Arb Nbuy,Nonarb Nbuy,Inst Nbuy,Foreign Nbuy,VKOSPI,VIX
2006-01-02,-421.58,65.79,-225.58379,16.85259,20.8,12.07
2006-01-03,-228.5,-54.92,-110.00955,-6.20243,20.24,11.14
2006-01-04,-144.53,10.64,43.43478,187.6255,19.93,11.37
2006-01-05,183.2,71.5,132.96375,87.38108,20.24,11.31
2006-01-06,-62.62,93.89,158.02297,11.26912,18.96,11
2006-01-09,-43.72,-7.61,91.29411,-154.02778,20.42,11.13
2006-01-10,-145.61,-9.76,-136.44816,83.41842,22,10.86
2006-01-11,128.51,106.49,253.79166,-215.81451,21.66,10.94
2006-01-12,-42.98,-37.31,-93.20096,163.22904,20.97,11.2
2006-01-13,30.87,35.16,121.12524,-41.55432,18.55,11.23
2006-01-16,-21.39,0.05,171.67642,-85.14781,18.72,11.23
2006-01-17,-155.03,-55.18,-200.09715,95.99592,20.52,11.91
2006-01-18,119.05,1.59,192.23505,-310.72036,22.23,12.25
2006-01-19,-91.31,32.11,15.3045,83.4732,21.09,11.98
2006-01-20,-194.45,27.12,-266.36399,462.20514,22.89,14.56
2006-01-23,604.76,17.5,424.60966,96.3052,25.06,13.93
2006-01-24,103.33,-7.39,-254.22836,320.60085,23.18,13.31
2006-01-25,-558.47,23.44,-719.3252,648.12462,22.39,12.87
2006-01-26,-105.71,5.27,-235.01518,217.92523,21.02,12.42
2006-01-27,9.15,-18.31,65.20749,160.39641,20.39,11.97
2006-01-31,-122.7,23.44,-133.72413,301.02138,21.57,12.95
2006-02-01,234.81,-6.16,34.90561,142.09593,23.61,12.36
2006-02-02,93.17,-158.15,4.15593,-146.27565,22.46,13.23
2006-02-03,-210.22,68.22,-277.11102,55.67675,24.67,12.96
2006-02-06,-74.2,108.92,-10.012,-77.67177,24.71,13.04
2006-02-07,-190.31,-1.9,48.90933,-29.743,24.78,13.59
2006-02-08,-65.76,-31.88,45.8644,-149.81978,24.9,12.83
2006-02-09,-190.16,-27.67,-187.68752,47.673,22.09,13.12
2006-02-10,-76.37,-49.34,66.38865,-5.2749,21.91,12.87
2006-02-13,-256.29,-107.05,-252.84145,65.11405,23.85,13.35
2006-02-14,284.31,-21.64,428.69964,-381.11318,23.31,12.25
2006-02-15,-253.73,-100.1,-137.64209,-134.34093,24.35,12.31
2006-02-16,118.13,74.63,271.87175,-21.94049,23.45,11.48
2006-02-17,-22.53,11.43,121.14092,181.99737,23.16,12.01
2006-02-20,365.67,-15.04,329.51531,-111.4476,23.13,12.01
2006-02-21,88.43,-53.16,133.1449,-152.68616,22.9,12.41
2006-02-22,-305.82,22.19,-269.69769,85.94489,23.12,11.88
2006-02-23,333.89,35.08,336.01715,11.37201,21.43,11.87
2006-02-24,168.17,-12.72,149.33497,5.94116,20.64,11.46
2006-02-27,94.98,-27.67,-41.33721,80.74065,19.55,11.59
2006-02-28,-10.12,-74.1,35.90274,0.04284,19.9,12.34
2006-03-02,18.81,44.19,19.76,-24.82872,19.82,11.72
2006-03-03,-435.53,-11.23,-244.9408,-146.06816,21.01,11.96
2006-03-06,144.51,92.67,223.60128,-223.56501,20.19,12.74
2006-03-07,-159.29,-39.99,-8.841,-130.30558,22.3,12.66
2006-03-08,210.82,-46.66,373.88993,-482.0885,22.03,12.32
2006-03-09,-5.7,-145.46,134.10921,-309.25189,23.08,12.68
2006-03-10,-97.65,-36.25,-87.4142,30.22882,20.19,11.85
2006-03-13,7.97,-12.27,60.81775,44.13473,19.56,11.37
2006-03-14,-254.19,-73.86,-305.49953,201.84326,21.53,10.74
2006-03-15,292.18,5.29,228.71731,-77.73098,20.71,11.35
2006-03-16,38.15,14.53,105.18016,126.62021,20.5,11.98
2006-03-17,86.95,30.19,88.23936,-0.49671,19.91,12.12
2006-03-20,176.91,1.64,192.16978,-67.60567,20.5,11.79
2006-03-21,-55.94,-49.24,-138.0004,85.70527,21.05,11.62
2006-03-22,-415.44,-22.84,-370.79445,51.20801,21.55,11.21
2006-03-23,-156.16,79.47,-205.91891,113.87693,21.39,11.17
2006-03-24,110.18,96.44,104.02206,41.04691,20.88,11.19
2006-03-27,155.34,68.45,72.73911,124.4802,19.88,11.46
2006-03-28,163.49,33.37,38.11286,116.28661,19.56,11.58
2006-03-29,295.03,57.94,264.76839,-83.73173,19.48,10.95
2006-03-30,110.3,-6.89,194.07592,-38.69744,19.26,11.57
2006-03-31,231.84,70.89,186.46734,112.67148,18.19,11.39
