,BM, MACD ,SAR,ADX,RSI,Stoch,CCI,Program_Nbuy,FI_Nbuy,VIX_Avg,VKOSPI_Avg
2006-03-29 9:00,0,0,0,0,0,0,0,0,0,0,0
2006-03-30 9:00,0.005833333,0.005833333,0,-0.005833333,0,0,0,0,0,0,0
2006-03-31 9:00,0.014444444,0.014444444,0,-0.014444444,0,0,0,0,0,0,0
2006-04-03 9:00,0.011111111,0.011111111,0,-0.011111111,0,0,0,0,0,0,0
2006-04-04 9:00,0.0075,0.0075,0.0075,-0.0075,0,0,0,0,0.0075,0,0
2006-04-05 9:00,0.006666667,0.006666667,0.006666667,0.006666667,0,0,0,0,0.006666667,0,0
2006-04-06 9:00,0.003055556,0.003055556,0.003055556,0.003055556,0,0,0,0,0.003055556,0,0
2006-04-07 9:00,0.006111111,0.006111111,0.006111111,0.006111111,0,0,0,0,0.006111111,0,0
2006-04-10 9:00,-0.005,-0.005,-0.005,-0.005,0,0,0,0,-0.005,0,0
2006-04-11 9:00,-0.011944444,-0.011944444,-0.011944444,-0.011944444,0,0,0,0,-0.011944444,0.011944444,0
2006-04-12 9:00,-0.004166667,-0.004166667,-0.004166667,-0.004166667,0,0.004166667,0,0,-0.004166667,0.004166667,0
2006-04-13 9:00,0.021111111,0.021111111,0.021111111,0.021111111,-0.021111111,-0.021111111,-0.021111111,0,0.021111111,-0.021111111,0
2006-04-14 9:00,0.020277778,0.020277778,0.020277778,0.020277778,-0.020277778,-0.020277778,-0.020277778,0,0.020277778,-0.020277778,0
2006-04-17 9:00,-0.009444444,-0.009444444,-0.009444444,-0.009444444,0.009444444,0.009444444,0.009444444,0,-0.009444444,0.009444444,-0.009444444
2006-04-18 9:00,0.004444444,0.004444444,0.004444444,0.004444444,-0.004444444,-0.004444444,-0.004444444,0,0.004444444,-0.004444444,0.004444444
2006-04-19 9:00,0.011111111,0.011111111,0.011111111,0.011111111,-0.011111111,-0.011111111,-0.011111111,0,0.011111111,-0.011111111,0.011111111
2006-04-20 9:00,-0.005833333,-0.005833333,-0.005833333,-0.005833333,0.005833333,0.005833333,0.005833333,0,-0.005833333,-0.005833333,-0.005833333
2006-04-21 9:00,0.013888889,0.013888889,0.013888889,0.013888889,-0.013888889,-0.013888889,-0.013888889,0,0.013888889,0.013888889,0.013888889
2006-04-24 9:00,-0.02,-0.02,-0.02,-0.02,0.02,0.02,0.02,0,-0.02,-0.02,-0.02
2006-04-25 9:00,0.004444444,0.004444444,0.004444444,0.004444444,-0.004444444,-0.004444444,-0.004444444,0,0.004444444,0.004444444,0.004444444
2006-04-26 9:00,0.014166667,0.014166667,0.014166667,0.014166667,-0.014166667,-0.014166667,-0.014166667,0,0.014166667,0.014166667,0.014166667
2006-04-27 9:00,0.000277778,0.000277778,0.000277778,0.000277778,-0.000277778,-0.000277778,-0.000277778,0,0.000277778,0.000277778,0.000277778
2006-04-28 9:00,-0.025277778,-0.025277778,-0.025277778,-0.025277778,0.025277778,0.025277778,0.025277778,0,-0.025277778,-0.025277778,-0.025277778
2006-05-02 9:00,0.010833333,0.010833333,0.010833333,0.010833333,-0.010833333,-0.010833333,-0.010833333,0,0.010833333,0.010833333,0.010833333
2006-05-03 9:00,0.003055556,-0.003055556,-0.003055556,0.003055556,-0.003055556,-0.003055556,-0.003055556,0,0.003055556,0.003055556,0.003055556
2006-05-04 9:00,0.001944444,-0.001944444,-0.001944444,0.001944444,-0.001944444,-0.001944444,-0.001944444,0,0.001944444,-0.001944444,0.001944444
2006-05-08 9:00,0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,0.01
2006-05-09 9:00,-0.001111111,0.001111111,0.001111111,-0.001111111,0.001111111,0.001111111,0.001111111,0,0.001111111,-0.001111111,-0.001111111
2006-05-10 9:00,-0.001111111,0.001111111,-0.001111111,-0.001111111,0.001111111,0.001111111,0.001111111,0,0.001111111,0.001111111,-0.001111111
2006-05-11 9:00,0.013055556,-0.013055556,0.013055556,0.013055556,-0.013055556,-0.013055556,-0.013055556,-0.013055556,-0.013055556,-0.013055556,0.013055556
2006-05-12 9:00,-0.023888889,0.023888889,-0.023888889,-0.023888889,0.023888889,0.023888889,0.023888889,0.023888889,0.023888889,-0.023888889,-0.023888889
