Date,VIX Index,UX1 Index,SPVXSP Index
2005-12-20,11.19,11.15,100000
2005-12-21,10.81,12.59,98667.71
2005-12-22,10.29,12.48,97794.3
2005-12-23,10.27,12.21,95893.4
2005-12-27,11.57,12.45,97525.57
2005-12-28,11.35,12.32,96611.2
2005-12-29,11.61,12.32,96589.08
2005-12-30,12.07,12.45,97190.24
2006-01-03,11.14,12.02,94676.96
2006-01-04,11.37,11.84,93839.11
2006-01-05,11.31,11.83,93381.22
2006-01-06,11,11.56,91730.89
2006-01-09,11.13,11.33,90040.81
2006-01-10,10.86,11.22,88561.87
2006-01-11,10.94,11.19,87438.32
2006-01-12,11.2,11.3,88434.31
2006-01-13,11.23,11.32,88206.57
2006-01-17,11.91,11.71,89268.18
2006-01-18,12.25,13.27,90495.7
2006-01-19,11.98,13.11,89417.63
2006-01-20,14.56,13.53,92205.96
2006-01-23,13.93,13.74,93463.5
2006-01-24,13.31,13.56,92140.65
2006-01-25,12.87,13.32,90590.93
2006-01-26,12.42,12.92,88425.36
2006-01-27,11.97,12.72,86779.04
2006-01-30,12.39,12.53,85641.78
2006-01-31,12.95,12.7,86205.57
2006-02-01,12.36,12.66,85905.9
2006-02-02,13.23,12.86,86833.15
2006-02-03,12.96,12.87,86620.75
2006-02-06,13.04,12.8,86716.88
2006-02-07,13.59,13.02,87431.75
2006-02-08,12.83,12.47,85332.33
2006-02-09,13.12,12.41,84408.68
2006-02-10,12.87,12.37,84145.27
2006-02-13,13.35,12.65,85630.73
2006-02-14,12.25,11.95,84528.27
2006-02-15,12.31,12.99,84920.51
2006-02-16,11.48,12.74,83291.91
2006-02-17,12.01,12.6,82409.63
2006-02-21,12.41,12.44,81667.59
2006-02-22,11.88,12.19,79590.11
2006-02-23,11.87,12.2,79574.01
2006-02-24,11.46,12.1,78803.01
2006-02-27,11.59,11.96,78073.79
2006-02-28,12.34,12.19,79246.07
2006-03-01,11.54,12.05,78568.07
2006-03-02,11.72,12.07,78721.92
2006-03-03,11.96,12.11,78801.31
2006-03-06,12.74,12.34,79815.24
2006-03-07,12.66,12.44,80413.61
2006-03-08,12.32,12.25,79582
2006-03-09,12.68,12.38,80086.28
2006-03-10,11.85,12.21,79352.12
2006-03-13,11.37,11.88,78569.69
2006-03-14,10.74,11.51,77473.88
2006-03-15,11.35,11.48,77434.9
2006-03-16,11.98,11.45,76316.55
2006-03-17,12.12,11.66,76587.45
2006-03-20,11.79,11.5,77014.57
2006-03-21,11.62,11.53,77376.08
2006-03-22,11.21,12.43,76211.15
2006-03-23,11.17,12.45,76320.58
2006-03-24,11.19,12.36,75822.92
2006-03-27,11.46,12.38,75886.96
2006-03-28,11.58,12.35,75768.79
2006-03-29,10.95,12.06,74205.01
2006-03-30,11.57,12,73805.03
2006-03-31,11.39,12.12,74393.57
2006-04-03,11.57,12.09,74163.26
2006-04-04,11.14,12,73766.87
2006-04-05,11.13,11.9,72982.78
2006-04-06,11.45,11.92,72413.58
2006-04-07,12.26,12.07,73715.15
2006-04-10,12.19,12.3,74468.68
2006-04-11,13,12.61,75603.21
2006-04-12,12.76,12.63,76140.38
2006-04-13,12.38,12.57,75935.74
2006-04-17,12.58,12.61,76171.02
2006-04-18,11.4,11.48,73763.14
2006-04-19,11.32,12.61,73704.69
2006-04-20,11.64,12.44,72724.53
2006-04-21,11.59,12.64,73844.83
2006-04-24,11.75,12.59,73486.08
2006-04-25,11.75,12.59,73346.7
2006-04-26,11.76,12.42,72418.26
2006-04-27,11.84,12.35,71960.28
2006-04-28,11.59,12.23,71488.21
2006-05-01,12.54,12.53,72760.86
2006-05-02,11.99,12.31,71722.99
2006-05-03,11.99,12.41,72445.13
2006-05-04,11.86,12.26,72150.81
2006-05-05,11.62,12.1,71263.61
2006-05-08,12,12.08,71410.25
2006-05-09,11.99,11.96,70922.47
2006-05-10,11.78,11.98,70650.52
2006-05-11,12.49,12.36,72547.64
2006-05-12,14.19,13.12,75961.95
2006-05-15,13.57,13.17,75580.06
2006-05-16,13.35,12.98,74659.88
2006-05-17,16.26,14.42,82120.17
2006-05-18,16.99,14.63,83305.87
2006-05-19,17.18,14.86,84611.55
2006-05-22,17.72,15.84,89748.79
2006-05-23,18.26,15.71,88930.47
2006-05-24,17.36,16.19,91497.97
2006-05-25,15.5,15.4,87827.15
2006-05-26,14.26,14.9,85408.71
2006-05-30,18.66,16.34,93256.66
2006-05-31,16.44,15.9,91331.47
2006-06-01,14.52,15.13,87480.89
2006-06-02,14.32,14.73,85262.4
2006-06-05,16.65,15.87,90284.59
2006-06-06,17.34,16.32,92371.54
2006-06-07,17.8,16.67,94786.73
2006-06-08,18.35,17.13,97793.78
2006-06-09,18.12,17.43,98791.87
2006-06-12,20.96,18.21,102348.72
2006-06-13,23.81,20.78,110906.64
2006-06-14,21.46,21.62,113069.15
2006-06-15,15.9,16.1,94580.71
2006-06-16,17.25,16.65,97481.24
2006-06-19,17.83,16.99,98447.9
2006-06-20,16.69,16.94,96982.95
2006-06-21,15.52,15.67,91439.4
2006-06-22,15.88,15.76,91933.33
2006-06-23,15.89,15.69,91427.5
2006-06-26,15.62,15.56,90642.84
2006-06-27,16.4,15.93,92895.43
2006-06-28,15.79,15.96,92947.51
2006-06-29,13.03,14.34,85062.5
2006-06-30,13.08,14.02,83163.07
2006-07-03,13.05,13.72,81573.96
2006-07-05,14.15,14.4,84701.97
2006-07-06,13.65,14.16,84714.08
2006-07-07,13.97,14.36,85694.15
2006-07-10,14.02,14.32,85754.24
2006-07-11,13.14,13.9,84182.88
2006-07-12,14.49,14.44,86488.69
2006-07-13,17.79,16.36,93708.45
2006-07-14,18.05,17.27,96604.6
2006-07-17,18.64,17.35,95794.99
2006-07-18,17.74,17.86,94556.84
2006-07-19,15.55,15.81,89517.58
