,SPVXSP Index,UX1 Index,UX2 Index,VIX Index
2013-05-31,1788.98,16.05,17.15,16.3
2013-05-30,1719.79,15.4,16.55,14.53
2013-05-29,1715.47,15.4,16.4,14.83
2013-05-28,1696.96,15.2,16.35,14.48
2013-05-24,1727.44,15.5,16.5,13.99
2013-05-23,1728.02,15.5,16.55,14.07
2013-05-22,1706.1,15.3,16.4,13.82
2013-05-21,1717.25,13.55,15.4,13.37
2013-05-20,1683.86,13.3,15.1,13.02
2013-05-17,1682.96,13.2,15.1,12.45
2013-05-16,1718.04,13.95,15.35,13.07
2013-05-15,1694.41,13.7,15.15,12.81
2013-05-14,1681.87,13.55,15.05,12.77
2013-05-13,1688.97,13.65,15.1,12.55
2013-05-10,1695.41,13.85,15.1,12.59
2013-05-09,1727.93,14.2,15.35,13.13
2013-05-08,1701.09,14,15.1,12.66
2013-05-07,1680.2,13.85,14.9,12.83
2013-05-06,1686.02,13.9,14.95,12.66
2013-05-03,1723.84,14.25,15.25,12.85
2013-05-02,1756.14,14.55,15.5,13.59
2013-05-01,1818.79,15.15,15.95,14.49
2013-04-30,1743.55,14.45,15.4,13.52
2013-04-29,1772.54,14.75,15.55,13.71
2013-04-26,1778.45,14.8,15.6,13.61
2013-04-25,1775.13,14.8,15.5,13.62
2013-04-24,1758.77,14.65,15.4,13.61
2013-04-23,1749.26,14.55,15.4,13.48
2013-04-22,1837.64,15.3,16.1,14.39
2013-04-19,1915.94,15.95,16.8,14.97
2013-04-18,2060.19,17.2,17.5,17.56
2013-04-17,1970.42,16.45,16.75,16.51
2013-04-16,1766.79,13.95,14.75,13.96
2013-04-15,2000.4,16.7,16.65,17.27
2013-04-12,1681.81,12.75,14.15,12.06
2013-04-11,1725.02,13.15,14.5,12.24
2013-04-10,1723.74,13.1,14.5,12.36
2013-04-09,1789.22,13.6,15.05,12.84
2013-04-08,1795.35,13.65,15.1,13.19
2013-04-05,1858.28,14.35,15.5,13.92
2013-04-04,1856.65,14.25,15.55,13.89
2013-04-03,1893.29,14.65,15.75,14.21
2013-04-02,1807.91,13.8,15.25,12.78
2013-04-01,1877.9,14.4,15.75,13.58
2013-03-28,1855.01,14.2,15.6,12.7
2013-03-27,1876.35,14.4,15.7,13.15
2013-03-26,1854.24,14.2,15.6,12.77
2013-03-25,1894.98,14.55,15.8,13.74
2013-03-22,1926.09,14.8,16,13.57
2013-03-21,1945.44,14.95,16.15,13.99
2013-03-20,1888.83,14.5,15.95,12.67
2013-03-19,2006.07,14.8,15.4,14.39
2013-03-18,2000.09,13.7,15.4,13.36
2013-03-15,1903.42,12.55,14.7,11.3
2013-03-14,1891.88,12.55,14.6,11.3
